Country,ISO3,indicateur_perf_logistique,pib_par_hab,stab_politique,population,tx_urbanisation,tarif_douanier_moyen,emissions_agri_pc,organic_share,hfce_per_capita_usd_const2015
Aruba,ABW,,41649.4507917813,1.48307979106903,107310.0,44.052,,,,
Africa Eastern and Southern,AFE,2.61818181818182,4229.08648606455,,731821393.0,37.9090120211832,,,,957.561668301913
Afghanistan,AFG,1.9,2122.99581512663,-2.54495596885681,40578842.0,26.616,,92.41268,0.0,
Africa Western and Central,AFW,2.47333333333333,5169.14554667835,,497387180.0,49.1298079868363,,,,
Angola,AGO,2.1,7924.88880583901,-0.630108535289764,35635029.0,68.081,11.59,424.86288,,1265.34909002783
Albania,ALB,2.5,19446.2252459573,0.106261312961578,2777689.0,63.799,0.57,226.33923,0.06,3719.78446930578
Andorra,AND,,68470.0759483848,1.58598840236664,79705.0,87.811,,0.0,0.01,
Arab World,ARB,2.79375,17925.6530176816,,471352066.0,59.0542670171409,,,,3385.8147125317
United Arab Emirates,ARE,4.0,73777.7443945251,0.744183301925659,10074977.0,87.543,,71.27455,1.38,20888.4777206158
Argentina,ARG,2.8,29597.6938429263,-0.0985943302512169,45407904.0,92.347,11.95,981.1067,3.03,8606.91056124218
Armenia,ARM,2.5,19161.3700514189,-0.740756273269653,2969200.0,63.573,,183.97156,0.04,3368.46995222079
American Samoa,ASM,,,1.12317395210266,48342.0,87.196,,,,10346.5862498259
Antigua and Barbuda,ATG,2.9,29933.8893698902,0.938082098960876,92840.0,24.346,,107.70059,,
Australia,AUS,3.7,65871.7715157769,0.983715951442719,26014399.0,86.488,2.01,2021.6796,9.82,32597.0830138865
Austria,AUT,4.0,70734.9425647902,0.648710012435913,9041851.0,59.256,1.95,243.80348,27.17,23594.8540897255
Azerbaijan,AZE,,22552.0886659805,-0.922807276248932,10141756.0,57.17,8.89,239.91515,0.8,
Burundi,BDI,,888.518158386925,-1.19244623184204,13321097.0,14.417,12.63,94.58677,0.02,195.501916222688
Belgium,BEL,4.0,68157.8347860761,0.581981599330902,11680210.0,98.153,1.95,175.23042,7.49,21959.1736103304
Benin,BEN,2.9,3844.15415745816,-0.34320268034935,13759501.0,49.534,11.3,184.59964,1.22,804.926703638741
Burkina Faso,BFA,2.3,2641.87011276968,-1.81536936759949,22509038.0,31.877,11.44,376.2933,0.63,473.475232676987
Bangladesh,BGD,2.6,8450.54902533941,-1.046462059021,169384897.0,39.711,12.89,145.99886,0.01,1253.10179441914
